Fecha;Region Hidrologica;Nombre Río;Aportes Caudal m3/s;Aportes Energía kWh;Aportes %
12/02/2016;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);3.597;983,200.000;0.5174736842
12/02/2016;ANTIOQUIA;DESV. MANSO;0.076;3,700.000;0.0074000000
12/02/2016;ANTIOQUIA;GRANDE;8.415;2,639,300.000;0.3858625731
12/02/2016;ANTIOQUIA;GUADALUPE;13.355;3,650,500.000;1.0459885390
12/02/2016;ANTIOQUIA;GUATAPE;18.346;3,095,300.000;0.8670308123
12/02/2016;ANTIOQUIA;MIEL I;24.534;1,183,000.000;0.2957500000
12/02/2016;ANTIOQUIA;NARE;22.310;7,871,500.000;0.6756652361
12/02/2016;ANTIOQUIA;PORCE II;24.772;3,153,500.000;0.4756410256
12/02/2016;ANTIOQUIA;PORCE III;3.352;247,300.000;0.1978400000
12/02/2016;ANTIOQUIA;SAN CARLOS;9.005;1,182,000.000;0.5851485149
12/02/2016;ANTIOQUIA;TENCHE;4.685;1,280,600.000;1.6007500000
12/02/2016;CARIBE;SINU URRA;105.730;1,136,300.000;0.8479850746
12/02/2016;CENTRO;AMOYA;10.664;1,244,100.000;0.7632515337
12/02/2016;CENTRO;BETANIA CP;62.200;930,900.000;0.4289861751
